"geno_name","source_lat","source_long","sexual_recruit","source_date","geno_definition","CSR_accession","mlg_id","geno_source","origin_nursery","microsat_id","mlg_geno_id","alt_names","geno_id"
"U59",24.813116,-80.669133,0,"2010-10-17","SNP","a5425d50-1d18-42a9-3f60-c5630253595c","HG0705","Ross-CBASS","CRF","C1435",730,"CRF-086",70
"U60",24.812933,-80.669566,0,"2010-10-17","SNP","49fe4d24-344d-ef88-018f-0152ec7ff5fe","HG0026","Ross-CBASS","CRF","C1473",29,"CRF-087",71
"U71",25.134383,-80.30245,0,"2010-10-28","SNP","b890569f-c97d-df7f-b202-651d113aff64","HG0002","Ross-CBASS","CRF","C1429",22,"CRF-094",72
"U72",25.133716,-80.284383,0,"2010-10-28","SNP","58c76758-4f53-a503-0a31-a3bca7bf5ff9","HG0718","Ross-CBASS","CRF","C1425",731,"CRF-095",73
"U75",24.813616,-80.666966,0,"2011-06-14","SNP","ea410e99-86c4-6df0-5154-50be231173e8","HG0052","Ross-CBASS","CRF","C1482",43,"CRF102",74
"Site 211",25.69232,-80.0973,0,"2014-01-01",NA,"fd2179ac-c9db-310b-9702-7ef311b64b3b",NA,NA,"University of Miami",NA,NA,NA,75
"Jons",25.56706,-80.10806,0,"2010-01-01",NA,"eba565b1-93c2-db16-9f4d-62beb9cdc2a7",NA,NA,"University of Miami",NA,NA,NA,76
"Govt Cut",NA,NA,0,NA,NA,NA,NA,NA,"University of Miami",NA,NA,NA,77
"Struggle Bus",25.3328,-80.1651,0,"2010-01-01","microsat","c41ae38d-f09c-da99-61e5-3bad01c97291",NA,NA,"University of Miami","C1163",NA,"Site 454",78
"Grounding",25.38863,-80.16493,0,"2010-01-01","microsat","4ccc721e-e9d3-9a43-ecc4-88015c62e276",NA,NA,"University of Miami","C1179",NA,NA,79
"ML11",NA,NA,0,NA,NA,NA,NA,NA,"Mote","C1363",NA,NA,80
"ML14",NA,NA,0,NA,NA,NA,NA,NA,"Mote","C1366",NA,NA,81
