"geno_name","source_lat","source_long","sexual_recruit","source_date","geno_definition","CSR_accession","mlg_id","geno_source","origin_nursery","microsat_id","mlg_geno_id","alt_names","geno_id"
"U98",25.202766,-80.24535,0,"2013-08-08","SNP","df455a63-2bf8-9709-0e07-89681d763e4e","HG0589","Ross-CBASS","CRF",NA,578,"CRF-112",192
"KW5",24.499083,-81.75905,0,"2010-06-16","SNP","1f845bee-9dcc-be7d-f2f3-dee81aa626e3","HG0720","Ross-CBASS","CRF",NA,722,"CRF-074",193
"KW15",24.5005,-81.741683,0,"2014-06-26","SNP","58cc8514-44f5-99ad-fea4-2c5d6b74af42","HG0876","Ross-CBASS","CRF",NA,856,"CRF-118",194
"KW16",24.500783,-81.741933,0,"2014-06-26","SNP","ffe5c0ff-9254-d4d4-87fa-aa83794af77e","HG0865","Ross-CBASS","CRF",NA,857,"CRF-119",195
"FM14",24.697566,-80.958516,0,"2010-05-05","SNP","efe0568c-4959-a62c-3042-56505bcf6653","HG0588","Ross-CBASS","FWC","C1407",612,NA,196
"FM20",24.77885,-80.7349,0,"2010-04-21","SNP","86e93fb8-c30c-cf33-3ed5-287f7546ca30","HG0575","Ross-CBASS","FWC","C1396 ",564,"CRF-063",197
"FM21",24.75825,-80.765983,0,"2011-01-19","SNP","a9aaba27-fe74-ac3b-e7ba-2e710d309ef2","HG0695","Ross-CBASS","FWC",NA,719,"CRF-065",198
"FM5",24.702166,-80.938666,0,"2010-03-19","SNP","35d9f26b-1c61-0f84-09f5-ff908844e5e3","HG0005","Ross-CBASS","FWC","C1406",50,NA,199
"FM6",24.702166,-80.938666,0,"2010-03-19","SNP","358a5f32-6785-f5b0-228b-78a3b9dbe990","HG0573","Ross-CBASS","FWC","C1406",566,NA,200
"ML55",24.55913,-81.41338,0,"2010-11-11","SNP","0a51ca18-aa37-d4bf-3c4a-a95e4ca3f98a","HG0581","Ross-CBASS","Mote",NA,628,NA,201
"Acer120RR",25.28407,-80.20727,0,NA,NA,NA,NA,"Ross-CBASS","Reef Renewal",NA,NA,NA,202
"Acer121RR",25.28393,-80.20803,0,NA,NA,NA,NA,"Ross-CBASS","Reef Renewal",NA,NA,NA,203
"Acer122RR",25.16875,-80.26772,0,NA,NA,NA,NA,"Ross-CBASS","Reef Renewal",NA,NA,NA,204
"Acer123RR",24.4809,-81.9539,0,NA,NA,NA,NA,"Ross-CBASS","Reef Renewal",NA,NA,NA,205
"Acer126RR",24.4639,-81.98341,0,NA,NA,NA,NA,"Ross-CBASS","Reef Renewal",NA,NA,NA,206
"U104",25.221083,-80.212083,0,"2014-05-29","SNP","527bf6db-3778-0a30-f33d-a74d214b240a","HG0886","Ross-CBASS","CRF",NA,854,"CRF-115",207
"U93",25.1687,-80.26795,0,"2013-08-02","SNP","8ef65d6b-f65f-64f1-3ae1-25850afdea27","HG0693","Ross-CBASS","CRF",NA,735,"CRF-107",208
"kjs11",25.389351,-80.165482,0,NA,NA,NA,NA,"Ross-CBASS","KJS",NA,NA,NA,209
"kjs16",25.95858,-80.109131,0,NA,NA,NA,NA,"Ross-CBASS","KJS",NA,NA,NA,210
"kjs17",25.94264,-80.110077,0,NA,NA,NA,NA,"Ross-CBASS","KJS",NA,NA,NA,211
"kjs2",25.389351,-80.165482,0,NA,NA,NA,NA,"Ross-CBASS","KJS",NA,NA,NA,212
"kjs24",25.42399,-80.154556,0,NA,NA,NA,NA,"Ross-CBASS","KJS",NA,NA,NA,213
"kjs25",25.935431,-80.110802,0,NA,NA,NA,NA,"Ross-CBASS","KJS",NA,NA,NA,214
"kjs29",25.94573,-80.109428,0,NA,NA,NA,NA,"Ross-CBASS","KJS",NA,NA,NA,215
"kjs3",25.95858,-80.109131,0,NA,NA,NA,NA,"Ross-CBASS","KJS",NA,NA,NA,216
"kjs38",25.388371,-80.164413,0,NA,NA,NA,NA,"Ross-CBASS","KJS",NA,NA,NA,217
"kjs40",25.388371,-80.164413,0,NA,NA,NA,NA,"Ross-CBASS","KJS",NA,NA,NA,218
"kjs47",25.86063,-80.108543,0,NA,NA,NA,NA,"Ross-CBASS","KJS",NA,NA,NA,219
"kjs5",25.388371,-80.164413,0,NA,NA,NA,NA,"Ross-CBASS","KJS",NA,NA,NA,220
"kjs53",26.124533,-80.097031,0,NA,NA,NA,NA,"Ross-CBASS","KJS",NA,NA,NA,221
"kjs54",26.124533,-80.097031,0,NA,NA,NA,NA,"Ross-CBASS","KJS",NA,NA,NA,222
"kjs55",26.124533,-80.097031,0,NA,NA,NA,NA,"Ross-CBASS","KJS",NA,NA,NA,223
"kjs56",26.124533,-80.097031,0,NA,NA,NA,NA,"Ross-CBASS","KJS",NA,NA,NA,224
"kjs57",26.124533,-80.097031,0,NA,NA,NA,NA,"Ross-CBASS","KJS",NA,NA,NA,225
"kjs58",26.124533,-80.097031,0,NA,NA,NA,NA,"Ross-CBASS","KJS",NA,NA,NA,226
"kjs59",26.124533,-80.097031,0,NA,NA,NA,NA,"Ross-CBASS","KJS",NA,NA,NA,227
"kjs6",25.94573,-80.109428,0,NA,NA,NA,NA,"Ross-CBASS","KJS",NA,NA,NA,228
"kjs60",26.124533,-80.097031,0,NA,NA,NA,NA,"Ross-CBASS","KJS",NA,NA,NA,229
"kjs61",26.124533,-80.097031,0,NA,NA,NA,NA,"Ross-CBASS","KJS",NA,NA,NA,230
"kjs64",25.388371,-80.164413,0,NA,NA,NA,NA,"Ross-CBASS","KJS",NA,NA,NA,231
"kjs69",26.124533,-80.097031,0,NA,NA,NA,NA,"Ross-CBASS","KJS",NA,NA,NA,232
"kjs70",26.124533,-80.097031,0,NA,NA,NA,NA,"Ross-CBASS","KJS",NA,NA,NA,233
"kjs74",25.848301,-80.103813,0,NA,NA,NA,NA,"Ross-CBASS","KJS",NA,NA,NA,234
"kjs75",25.86063,-80.108543,0,NA,NA,NA,NA,"Ross-CBASS","KJS",NA,NA,NA,235
"kjs76",25.94573,-80.109428,0,NA,NA,NA,NA,"Ross-CBASS","KJS",NA,NA,NA,236
"kjs82",25.42399,-80.154556,0,NA,NA,NA,NA,"Ross-CBASS","KJS",NA,NA,NA,237
"kjs83",25.42399,-80.154556,0,NA,NA,NA,NA,"Ross-CBASS","KJS",NA,NA,NA,238
"kjs86",25.38879,-80.162613,0,NA,NA,NA,NA,"Ross-CBASS","KJS",NA,NA,NA,239
"kjs87",25.389351,-80.165482,0,NA,NA,NA,NA,"Ross-CBASS","KJS",NA,NA,NA,240
"kjs9",25.939381,-80.10955,0,NA,NA,NA,NA,"Ross-CBASS","KJS",NA,NA,NA,241
"kjs93",25.38879,-80.162613,0,NA,NA,NA,NA,"Ross-CBASS","KJS",NA,NA,NA,242
"kjs94",25.935431,-80.110802,0,NA,NA,NA,NA,"Ross-CBASS","KJS",NA,NA,NA,243
"kjs99",26.124533,-80.097031,0,NA,NA,NA,NA,"Ross-CBASS","KJS",NA,NA,NA,244
"M7",24.692317,-80.97575,0,"2008-12-06","SNP",NA,"HG0023","StagdB","CRF","C1477",44,"Acer-046",245
"FM1",24.6977,-80.9581,0,"2010-03-31",NA,"bc9961b6-2224-0a8b-e31e-7b13017e31c2",NA,NA,"FWC","C1407",NA,NA,246
"FM10",24.639616,-81.066433,0,"2010-05-07",NA,"396dd228-bc5b-6677-73f3-c4414d5a7eab",NA,NA,"FWC","C1399",NA,NA,247
"ML9",24.6144,-81.50137,0,"2008-02-23","microsat",NA,NA,"Muller2018","Mote","C1161",NA,NA,248
